hkanji	hkanjiref
一	1
右	2
雨	3
円	4
王	5
音	6
下	7
火	8
花	9
学	10
気	11
九	12
休	13
金	14
空	15
月	16
犬	17
見	18
五	19
口	20
校	21
左	22
三	23
山	24
子	25
四	26
糸	27
字	28
耳	29
七	30
車	31
手	32
十	33
出	34
女	35
小	36
上	37
森	38
人	39
水	40
正	41
生	42
青	43
夕	44
石	45
赤	46
千	47
川	48
先	49
早	50
足	51
村	52
大	53
男	54
中	55
虫	56
町	57
天	58
田	59
土	60
二	61
日	62
入	63
年	64
白	65
八	66
百	67
文	68
木	69
本	70
名	71
目	72
立	73
力	74
林	75
六	76
引	77
雲	78
遠	79
何	80
科	81
夏	82
家	83
歌	84
画	85
回	86
会	87
海	88
絵	89
貝	90
外	91
間	92
顔	93
汽	94
記	95
帰	96
牛	97
魚	98
京	99
強	100
教	101
玉	102
近	103
形	104
計	105
元	106
原	107
戸	108
古	109
午	110
後	111
語	112
工	113
広	114
交	115
光	116
考	117
行	118
高	119
黄	120
合	121
谷	122
国	123
黒	124
今	125
才	126
作	127
算	128
止	129
市	130
思	131
紙	132
寺	133
自	134
時	135
室	136
社	137
弱	138
首	139
秋	140
春	141
書	142
少	143
場	144
色	145
食	146
心	147
新	148
親	149
図	150
数	151
西	152
声	153
星	154
晴	155
切	156
雪	157
船	158
前	159
組	160
走	161
草	162
多	163
太	164
体	165
台	166
地	167
池	168
知	169
竹	170
茶	171
昼	172
長	173
鳥	174
朝	175
通	176
弟	177
店	178
点	179
電	180
刀	181
冬	182
当	183
東	184
答	185
頭	186
同	187
道	188
読	189
南	190
馬	191
売	192
買	193
麦	194
半	195
番	196
父	197
風	198
分	199
聞	200
米	201
歩	202
母	203
方	204
北	205
毎	206
妹	207
明	208
鳴	209
毛	210
門	211
夜	212
野	213
友	214
用	215
曜	216
来	217
楽	218
里	219
理	220
話	221
悪	222
安	223
暗	224
医	225
意	226
育	227
員	228
院	229
飲	230
運	231
泳	232
駅	233
園	234
横	235
屋	236
温	237
化	238
荷	239
界	240
開	241
階	242
角	243
活	244
寒	245
感	246
館	247
岸	248
岩	249
起	250
期	251
客	252
究	253
急	254
級	255
宮	256
球	257
去	258
橋	259
業	260
曲	261
局	262
銀	263
苦	264
具	265
君	266
兄	267
係	268
軽	269
血	270
決	271
研	272
県	273
言	274
庫	275
湖	276
公	277
向	278
幸	279
港	280
号	281
根	282
祭	283
細	284
仕	285
死	286
使	287
始	288
指	289
歯	290
詩	291
次	292
事	293
持	294
式	295
実	296
写	297
者	298
主	299
守	300
取	301
酒	302
受	303
州	304
拾	305
終	306
習	307
週	308
集	309
住	310
重	311
所	312
暑	313
助	314
昭	315
消	316
商	317
章	318
勝	319
乗	320
植	321
申	322
身	323
神	324
深	325
進	326
世	327
整	328
線	329
全	330
送	331
息	332
族	333
他	334
打	335
対	336
待	337
代	338
第	339
題	340
炭	341
短	342
着	343
注	344
柱	345
丁	346
帳	347
調	348
直	349
追	350
定	351
庭	352
鉄	353
転	354
都	355
度	356
投	357
島	358
湯	359
登	360
等	361
動	362
童	363
内	364
肉	365
農	366
波	367
配	368
畑	369
発	370
反	371
坂	372
板	373
皮	374
悲	375
美	376
鼻	377
氷	378
表	379
秒	380
病	381
品	382
負	383
部	384
服	385
福	386
物	387
平	388
返	389
勉	390
放	391
万	392
味	393
命	394
面	395
問	396
役	397
薬	398
由	399
油	400
有	401
遊	402
予	403
洋	404
葉	405
陽	406
様	407
落	408
流	409
旅	410
両	411
緑	412
礼	413
列	414
路	415
和	416
愛	417
案	418
以	419
衣	420
位	421
囲	422
委	423
胃	424
印	425
英	426
栄	427
塩	428
央	429
億	430
加	431
貨	432
課	433
芽	434
改	435
械	436
害	437
各	438
覚	439
完	440
官	441
漢	442
管	443
関	444
観	445
願	446
希	447
季	448
紀	449
喜	450
旗	451
器	452
機	453
議	454
求	455
救	456
給	457
挙	458
漁	459
共	460
協	461
鏡	462
競	463
極	464
区	465
軍	466
郡	467
型	468
景	469
芸	470
欠	471
結	472
建	473
健	474
験	475
固	476
功	477
候	478
航	479
康	480
告	481
差	482
菜	483
最	484
材	485
昨	486
刷	487
殺	488
察	489
参	490
産	491
散	492
残	493
士	494
氏	495
史	496
司	497
姉	498
試	499
辞	500
失	501
借	502
種	503
周	504
宿	505
順	506
初	507
唱	508
焼	509
照	510
賞	511
臣	512
信	513
真	514
成	515
省	516
清	517
勢	518
静	519
席	520
積	521
折	522
節	523
説	524
浅	525
戦	526
選	527
然	528
争	529
相	530
倉	531
想	532
象	533
速	534
側	535
続	536
卒	537
孫	538
帯	539
隊	540
達	541
単	542
談	543
治	544
置	545
貯	546
腸	547
低	548
底	549
停	550
的	551
典	552
伝	553
徒	554
努	555
灯	556
堂	557
働	558
毒	559
熱	560
念	561
敗	562
倍	563
博	564
飯	565
飛	566
費	567
必	568
筆	569
票	570
標	571
不	572
夫	573
付	574
府	575
副	576
粉	577
兵	578
別	579
辺	580
変	581
便	582
包	583
法	584
望	585
牧	586
末	587
満	588
脈	589
民	590
約	591
勇	592
要	593
養	594
浴	595
利	596
陸	597
良	598
料	599
量	600
輪	601
類	602
令	603
冷	604
例	605
歴	606
連	607
練	608
老	609
労	610
録	611
圧	612
移	613
因	614
永	615
営	616
衛	617
易	618
益	619
液	620
演	621
応	622
往	623
恩	624
仮	625
価	626
果	627
河	628
過	629
賀	630
快	631
解	632
格	633
確	634
額	635
刊	636
幹	637
慣	638
歓	639
眼	640
基	641
寄	642
規	643
技	644
義	645
逆	646
久	647
旧	648
居	649
許	650
境	651
興	652
均	653
禁	654
句	655
訓	656
群	657
経	658
潔	659
件	660
券	661
険	662
検	663
絹	664
限	665
現	666
減	667
故	668
個	669
護	670
効	671
厚	672
耕	673
鉱	674
構	675
講	676
混	677
査	678
再	679
災	680
妻	681
採	682
際	683
在	684
財	685
罪	686
雑	687
蚕	688
酸	689
賛	690
支	691
志	692
師	693
資	694
示	695
似	696
児	697
識	698
質	699
舎	700
謝	701
授	702
収	703
修	704
衆	705
祝	706
述	707
術	708
準	709
序	710
除	711
招	712
承	713
称	714
証	715
条	716
状	717
常	718
情	719
織	720
職	721
制	722
性	723
政	724
精	725
製	726
税	727
責	728
績	729
接	730
設	731
舌	732
絶	733
銭	734
善	735
祖	736
素	737
総	738
造	739
像	740
増	741
則	742
測	743
属	744
損	745
退	746
貸	747
態	748
団	749
断	750
築	751
張	752
提	753
程	754
適	755
敵	756
統	757
銅	758
導	759
特	760
得	761
徳	762
独	763
任	764
燃	765
能	766
破	767
犯	768
判	769
版	770
比	771
肥	772
非	773
備	774
俵	775
評	776
貧	777
布	778
婦	779
富	780
武	781
復	782
複	783
仏	784
編	785
弁	786
保	787
墓	788
報	789
豊	790
防	791
貿	792
暴	793
未	794
務	795
無	796
迷	797
綿	798
輸	799
余	800
預	801
容	802
率	803
略	804
留	805
領	806
異	807
遺	808
域	809
壱	810
宇	811
羽	812
映	813
延	814
沿	815
可	816
我	817
灰	818
街	819
拡	820
革	821
閣	822
割	823
株	824
干	825
巻	826
看	827
勧	828
簡	829
丸	830
危	831
机	832
揮	833
貴	834
疑	835
弓	836
吸	837
泣	838
供	839
胸	840
郷	841
