hkanji	jis
一	306C
右	3126
雨	312B
円	315F
王	3226
音	323B
下	323C
火	3250
花	3256
学	3358
気	3524
九	3665
休	3559
金	3662
空	3675
月	376E
犬	3824
見	382B
五	385E
口	387D
校	393B
左	3A38
三	3B30
山	3B33
子	3B52
四	3B4D
糸	3B65
字	3B7A
耳	3C2A
七	3C37
車	3C56
手	3C6A
十	3D3D
出	3D50
女	3D77
小	3E2E
上	3E65
森	3F39
人	3F4D
水	3F65
正	4035
生	4038
青	4044
夕	4D3C
石	4050
赤	4056
千	4069
川	406E
先	4068
早	4161
足	422D
村	423C
大	4267
男	434B
中	4366
虫	436E
町	442E
天	4537
田	4544
土	455A
二	4673
日	467C
入	467E
年	472F
白	4772
八	482C
百	4934
文	4A38
木	4C5A
本	4B5C
名	4C3E
目	4C5C
立	4E29
力	4E4F
林	4E53
六	4F3B
引	307A
雲	3140
遠	3173
何	323F
科	324A
夏	3246
家	3248
歌	324E
画	3268
回	3273
会	3271
海	3324
絵	3328
貝	332D
外	3330
間	3456
顔	3469
汽	3525
記	352D
帰	3522
牛	356D
魚	357B
京	357E
強	362F
教	3635
玉	364C
近	3661
形	3741
計	3757
元	3835
原	3836
戸	384D
古	3845
午	3861
後	3865
語	386C
工	3929
広	392D
交	3872
光	3877
考	394D
行	3954
高	3962
黄	322B
合	3967
谷	432B
国	3971
黒	3975
今	3A23
才	3A4D
作	3A6E
算	3B3B
止	3B5F
市	3B54
思	3B57
紙	3B66
寺	3B7B
自	3C2B
時	3B7E
室	3C3C
社	3C52
弱	3C65
首	3C73
秋	3D29
春	3D55
書	3D71
少	3E2F
場	3E6C
色	3F27
食	3F29
心	3F34
新	3F37
親	3F46
図	3F5E
数	3F74
西	403E
声	403C
星	4031
晴	4032
切	405A
雪	4063
船	4125
前	4130
組	4148
走	4176
草	4170
多	423F
太	4240
体	424E
台	4266
地	434F
池	4353
知	434E
竹	435D
茶	4363
昼	436B
長	4439
鳥	443B
朝	442B
通	444C
弟	446F
店	4539
点	4540
電	4545
刀	4561
冬	455F
当	4576
東	456C
答	457A
頭	462C
同	4631
道	463B
読	4649
南	466E
馬	474F
売	4764
買	4763
麦	477E
半	483E
番	4856
父	4963
風	4977
分	4A2C
聞	4A39
米	4A46
歩	4A62
母	4A6C
方	4A7D
北	4B4C
毎	4B68
妹	4B65
明	4C40
鳴	4C44
毛	4C53
門	4C67
夜	4C6B
野	4C6E
友	4D27
用	4D51
曜	4D4B
来	4D68
楽	335A
里	4E24
理	4D7D
話	4F43
悪	302D
安	3042
暗	3045
医	3065
意	3055
育	3069
員	3077
院	3121
飲	307B
運	313F
泳	314B
駅	3158
園	3160
横	3223
屋	3230
温	3239
化	323D
荷	3259
界	3326
開	332B
階	332C
角	3351
活	3368
寒	3428
感	3436
館	345B
岸	345F
岩	3464
起	352F
期	347C
客	3552
究	3566
急	355E
級	3569
宮	355C
球	3565
去	356E
橋	3636
業	3648
曲	364A
局	3649
銀	3664
苦	366C
具	3671
君	372F
兄	373B
係	3738
軽	375A
血	376C
決	3768
研	3826
県	3829
言	3840
庫	384B
湖	3850
公	3878
向	387E
幸	392C
港	3941
号	3966
根	3A2C
祭	3A57
細	3A59
仕	3B45
死	3B60
使	3B48
始	3B4F
指	3B58
歯	3B75
詩	3B6D
次	3C21
事	3B76
持	3B7D
式	3C30
実	3C42
写	3C4C
者	3C54
主	3C67
守	3C69
取	3C68
酒	3C72
受	3C75
州	3D23
拾	3D26
終	3D2A
習	3D2C
週	3D35
集	3D38
住	3D3B
重	3D45
所	3D6A
暑	3D6B
助	3D75
昭	3E3C
消	3E43
商	3E26
章	3E4F
勝	3E21
乗	3E68
植	3F22
申	3F3D
身	3F48
神	3F40
深	3F3C
進	3F4A
世	4024
整	4030
線	407E
全	4134
送	4177
息	4229
族	4232
他	423E
打	4247
対	4250
待	4254
代	4265
第	4268
題	426A
炭	433A
短	433B
着	4365
注	436D
柱	436C
丁	437A
帳	4422
調	4434
直	443E
追	4449
定	446A
庭	446D
鉄	4534
転	453E
都	4554
度	4559
投	456A
島	4567
湯	4572
登	4550
等	4579
動	4630
童	4638
内	4662
肉	4679
農	4740
波	4748
配	475B
畑	482A
発	482F
反	483F
坂	3A64
板	4844
皮	4869
悲	4861
美	487E
鼻	4921
氷	4939
表	493D
秒	4943
病	4942
品	494A
負	4969
部	4974
服	497E
福	4A21
物	4A2A
平	4A3F
返	4A56
勉	4A59
放	4A7C
万	4B7C
味	4C23
命	4C3F
面	4C4C
問	4C64
役	4C72
薬	4C74
由	4D33
油	4C7D
有	4D2D
遊	4D37
予	4D3D
洋	4D4E
葉	4D55
陽	4D5B
様	4D4D
落	4D6E
流	4E2E
旅	4E39
両	4E3E
緑	4E50
礼	4E69
列	4E73
路	4F29
和	4F42
愛	3026
案	3046
以	304A
衣	3061
位	304C
囲	304F
委	3051
胃	305F
印	3075
英	3151
栄	3149
塩	3176
央	317B
億	322F
加	3243
貨	325F
課	325D
芽	326A
改	327E
械	3323
害	3332
各	3346
覚	3350
完	3430
官	3431
漢	3441
管	3449
関	3458
観	3451
願	346A
希	3475
季	3528
紀	352A
喜	346E
旗	347A
器	346F
機	3521
議	3544
求	3561
救	355F
給	356B
挙	3573
漁	3579
共	3626
協	3628
鏡	3640
競	3625
極	364B
区	3668
軍	3733
郡	3734
型	373F
景	374A
芸	375D
欠	3767
結	376B
建	377A
健	3772
験	3833
固	3847
功	3879
候	3875
航	3952
康	392F
告	3970
差	3A39
菜	3A5A
最	3A47
材	3A60
昨	3A72
刷	3A7E
殺	3B26
察	3B21
参	3B32
産	3B3A
散	3B36
残	3B44
士	3B4E
氏	3B61
史	3B4B
司	3B4A
姉	3B50
試	3B6E
辞	3C2D
失	3C3A
借	3C5A
種	3C6F
周	3C7E
宿	3D49
順	3D67
初	3D69
唱	3E27
焼	3E46
照	3E48
賞	3E5E
臣	3F43
信	3F2E
真	3F3F
成	402E
省	3E4A
清	4036
勢	402A
静	4045
席	404A
積	4051
折	405E
節	4061
説	4062
浅	4075
戦	406F
選	412A
然	4133
争	4168
相	416A
倉	4152
想	415B
象	3E5D
速	422E
側	4226
続	4233
卒	4234
孫	4239
帯	4253
隊	4262
達	4323
単	4331
談	434C
治	3C23
置	4356
貯	4379
腸	4432
低	4463
底	446C
停	4464
的	452A
典	4535
伝	4541
徒	454C
努	4558
灯	4574
堂	4632
働	462F
毒	4647
熱	472E
念	4730
敗	4754
倍	475C
博	476E
飯	4853
飛	4874
費	4871
必	492C
筆	492E
票	493C
標	4938
不	4954
夫	4957
付	4955
府	495C
副	497B
粉	4A34
兵	4A3C
別	4A4C
辺	4A55
変	4A51
便	4A58
包	4A71
法	4B21
望	4B3E
牧	4B52
末	4B76
満	4B7E
脈	4C2E
民	4C31
約	4C73
勇	4D26
要	4D57
養	4D5C
浴	4D61
利	4D78
陸	4E26
良	4E49
料	4E41
量	4E4C
輪	4E58
類	4E60
令	4E61
冷	4E64
例	4E63
歴	4E72
連	4F22
練	4E7D
老	4F37
労	4F2B
録	4F3F
圧	3035
移	305C
因	3078
永	314A
営	3144
衛	3152
易	3057
益	3157
液	3155
演	3169
応	317E
往	317D
恩	3238
仮	323E
価	3241
果	324C
河	324F
過	3261
賀	326C
快	3277
解	3272
格	334A
確	334E
額	335B
刊	3429
幹	3434
慣	3437
歓	343F
眼	3463
基	3470
寄	3473
規	352C
技	353B
義	3541
逆	3555
久	3557
旧	356C
居	356F
許	3576
境	362D
興	363D
均	3651
禁	3658
句	3667
訓	3731
群	3732
経	3750
潔	3769
件	376F
券	3774
険	3831
検	3821
絹	3828
限	3842
現	383D
減	383A
故	384E
個	3844
護	386E
効	387A
厚	387C
耕	394C
鉱	395B
構	393D
講	3956
混	3A2E
査	3A3A
再	3A46
災	3A52
妻	3A4A
採	3A4E
際	3A5D
在	3A5F
財	3A62
罪	3A61
雑	3B28
蚕	3B3D
酸	3B40
賛	3B3F
支	3B59
志	3B56
師	3B55
資	3B71
示	3C28
似	3B77
児	3B79
識	3C31
質	3C41
舎	3C4B
謝	3C55
授	3C78
収	3C7D
修	3D24
衆	3D30
祝	3D4B
述	3D52
術	3D51
準	3D60
序	3D78
除	3D7C
招	3E37
承	3E35
称	3E4E
証	3E5A
条	3E72
状	3E75
常	3E6F
情	3E70
織	3F25
職	3F26
制	4029
性	402D
政	402F
精	403A
製	403D
税	4047
責	4055
績	4053
接	405C
設	405F
舌	4065
絶	4064
銭	412C
善	4131
祖	4144
素	4147
総	416D
造	4224
像	417C
増	417D
則	4227
測	422C
属	4230
損	423B
退	4260
貸	425F
態	4256
団	4344
断	4347
築	435B
張	4425
提	4473
程	4478
適	452C
敵	4528
統	457D
銅	463C
導	4633
特	4643
得	4640
徳	4641
独	4648
任	4724
燃	4733
能	473D
破	474B
犯	4848
判	483D
版	4847
比	4866
肥	486E
非	4873
備	4877
俵	4936
評	493E
貧	494F
布	495B
婦	4958
富	4959
武	4970
復	497C
複	4A23
仏	4A29
編	4A54
弁	4A5B
保	4A5D
墓	4A68
報	4A73
豊	4B2D
防	4B49
貿	4B47
暴	4B3D
未	4C24
務	4C33
無	4C35
迷	4C42
綿	4C4A
輸	4D22
余	4D3E
預	4D42
容	4D46
率	4E28
略	4E2C
留	4E31
領	4E4E
異	305B
遺	3064
域	3068
壱	306D
宇	3127
羽	3129
映	3147
延	3164
沿	3168
可	3244
我	3266
灰	3325
街	3339
拡	3348
革	3357
閣	3355
割	3364
株	3374
干	3433
巻	342C
看	3447
勧	342B
簡	344A
丸	345D
危	346D
机	3479
揮	3478
貴	352E
疑	353F
弓	355D
吸	355B
泣	3563
供	3621
胸	363B
郷	363F
勤	3650
筋	365A
系	374F
径	3742
敬	3749
警	3759
劇	3760
穴	376A
兼	3773
権	3822
憲	377B
源	383B
厳	3837
己	384A
呼	3846
誤	386D
后	3921
好	3925
孝	3927
皇	3944
紅	3948
降	395F
鋼	395D
刻	396F
穀	3972
骨	397C
困	3A24
砂	3A3D
座	3A42
済	3A51
裁	3A5B
策	3A76
冊	3A7D
至	3B6A
私	3B64
姿	3B51
視	3B6B
詞	3B6C
誌	3B6F
磁	3C27
射	3C4D
捨	3C4E
尺	3C5C
釈	3C61
