hkanji	hkanjipage
一	001
右	001
雨	001
円	002
王	002
音	002
下	003
火	003
花	003
学	004
気	004
九	004
休	005
金	005
空	005
月	006
犬	006
見	006
五	006
口	007
校	007
左	007
三	008
山	008
子	008
四	008
糸	009
字	009
耳	009
七	009
車	010
手	010
十	010
出	010
女	011
小	011
上	011
森	011
人	012
水	012
正	012
生	012
青	013
夕	013
石	013
赤	013
千	014
川	014
先	014
早	014
足	015
村	015
大	015
男	015
中	016
虫	016
町	016
天	016
田	017
土	017
二	017
日	017
入	017
年	018
白	018
八	018
百	019
文	019
木	019
本	019
名	020
目	020
立	020
力	020
林	021
六	021
引	022
雲	022
遠	022
何	023
科	023
夏	023
家	024
歌	024
画	024
回	024
会	025
海	025
絵	025
貝	025
外	026
間	026
顔	026
汽	026
記	027
帰	027
牛	027
魚	027
京	028
強	028
教	028
玉	029
近	029
形	029
計	029
元	030
原	030
戸	030
古	030
午	031
後	031
語	031
工	032
広	032
交	032
光	032
考	033
行	033
高	033
黄	034
合	034
谷	034
国	034
黒	035
今	035
才	035
作	035
算	036
止	036
市	036
思	037
紙	037
寺	037
自	038
時	038
室	038
社	039
弱	039
首	039
秋	039
春	040
書	040
少	040
場	040
色	041
食	041
心	041
新	042
親	042
図	042
数	043
西	043
声	043
星	044
晴	044
切	044
雪	044
船	045
前	045
組	045
走	046
草	046
多	046
太	046
体	047
台	047
地	047
池	048
知	048
竹	048
茶	048
昼	049
長	049
鳥	049
朝	049
通	050
弟	050
店	050
点	051
電	051
刀	051
冬	051
当	052
東	052
答	053
頭	053
同	053
道	053
読	054
南	054
馬	054
売	054
買	055
麦	055
半	055
番	055
父	056
風	056
分	056
聞	057
米	057
歩	057
母	057
方	058
北	058
毎	058
妹	059
明	059
鳴	059
毛	059
門	059
夜	060
野	060
友	060
用	060
曜	061
来	061
楽	061
里	062
理	062
話	063
悪	064
安	064
暗	064
医	065
意	065
育	065
員	066
院	066
飲	066
運	067
泳	067
駅	067
園	068
横	068
屋	068
温	069
化	069
荷	069
界	070
開	070
階	070
角	070
活	071
寒	071
感	071
館	072
岸	072
岩	072
起	072
期	073
客	073
究	073
急	073
級	074
宮	074
球	074
去	075
橋	075
業	075
曲	076
局	076
銀	077
苦	077
具	077
君	078
兄	078
係	078
軽	079
血	079
決	079
研	080
県	080
言	081
庫	081
湖	081
公	082
向	082
幸	082
港	083
号	083
根	084
祭	084
細	084
仕	084
死	085
使	085
始	085
指	086
歯	086
詩	086
次	086
事	087
持	087
式	087
実	088
写	088
者	089
主	089
守	089
取	090
酒	090
受	090
州	091
拾	091
終	091
習	092
週	092
集	092
住	093
重	093
所	093
暑	094
助	094
昭	094
消	094
商	095
章	095
勝	096
乗	096
植	096
申	096
身	097
神	097
深	097
進	097
世	098
整	098
線	098
全	098
送	099
息	099
族	099
他	100
打	100
対	100
待	101
代	101
第	101
題	102
炭	102
短	102
着	103
注	103
柱	103
丁	103
帳	104
調	104
直	104
追	105
定	105
庭	105
鉄	106
転	106
都	106
度	107
投	107
島	107
湯	107
登	108
等	108
動	108
童	109
内	109
肉	109
農	110
波	110
配	110
畑	111
発	111
反	111
坂	112
板	112
皮	112
悲	112
美	113
鼻	113
氷	113
表	113
秒	114
病	114
品	114
負	115
部	115
服	116
福	116
物	116
平	117
返	117
勉	117
放	118
万	118
味	118
命	119
面	119
問	119
役	119
薬	120
由	120
油	120
有	120
遊	121
予	121
洋	122
葉	122
陽	122
様	123
落	123
流	124
旅	124
両	124
緑	125
礼	125
列	125
路	126
和	126
愛	127
案	127
以	128
衣	128
位	128
囲	129
委	129
胃	129
印	129
英	130
栄	130
塩	130
央	131
億	131
加	131
貨	132
課	132
芽	132
改	132
械	133
害	133
各	133
覚	134
完	134
官	134
漢	135
管	135
関	136
観	136
願	136
希	137
季	137
紀	137
喜	137
旗	138
器	138
機	138
議	139
求	139
救	139
給	140
挙	140
漁	140
共	140
協	141
鏡	141
競	141
極	142
区	142
軍	142
郡	143
型	143
景	143
芸	144
欠	144
結	144
建	145
健	145
験	145
固	145
功	146
候	146
航	147
康	147
告	147
差	148
菜	148
最	148
材	149
昨	149
刷	149
殺	150
察	150
参	150
産	151
散	151
残	151
士	152
氏	152
史	152
司	153
姉	153
試	153
辞	154
失	154
借	154
種	155
周	155
宿	155
順	156
初	156
唱	156
焼	157
照	157
賞	157
臣	157
信	158
真	158
成	158
省	159
清	159
勢	159
静	160
席	160
積	160
折	161
節	161
説	161
浅	162
戦	162
選	162
然	163
争	163
相	163
倉	164
想	164
象	164
速	165
側	165
続	165
卒	166
孫	166
帯	166
隊	167
達	167
単	167
談	168
治	168
置	168
貯	168
腸	169
低	169
底	169
停	169
的	170
典	170
伝	170
徒	171
努	171
灯	171
堂	171
働	172
毒	172
熱	172
念	173
敗	173
倍	173
博	174
飯	174
飛	174
費	175
必	175
筆	175
票	175
標	176
不	176
夫	176
付	176
府	177
副	177
粉	177
兵	178
別	178
辺	178
変	179
便	179
包	179
法	180
望	180
牧	180
末	180
満	181
脈	181
民	181
約	182
勇	182
要	182
養	183
浴	183
利	183
陸	183
良	184
料	184
量	184
輪	184
類	185
令	185
冷	185
例	186
歴	186
連	186
練	187
老	187
労	187
録	188
圧	189
移	189
因	190
永	190
営	190
衛	191
易	191
益	191
液	192
演	192
応	192
往	193
恩	193
仮	193
価	194
果	194
河	194
過	195
賀	195
快	195
解	196
格	196
確	196
額	197
刊	197
幹	197
慣	198
歓	198
眼	198
基	198
寄	199
規	199
技	199
義	200
逆	200
久	200
旧	201
居	201
許	202
境	202
興	202
均	203
禁	203
句	203
訓	204
群	204
経	204
潔	205
件	205
券	205
険	206
検	206
絹	206
限	206
現	207
減	207
故	207
個	207
護	208
効	208
厚	208
耕	209
鉱	209
構	209
講	210
混	210
査	210
再	211
災	211
妻	211
採	211
際	212
在	212
財	212
罪	213
雑	213
蚕	213
酸	214
賛	214
支	214
志	215
師	215
資	215
示	216
似	216
児	216
識	217
質	217
舎	217
謝	218
授	218
収	218
修	219
衆	219
祝	219
述	220
術	220
準	220
序	221
除	221
招	221
承	222
称	222
証	222
条	223
状	223
常	223
情	224
織	224
職	224
制	225
性	225
政	225
精	225
製	226
税	226
責	226
績	227
接	227
設	227
舌	228
絶	228
銭	228
善	229
祖	229
素	229
総	230
造	230
像	230
増	231
則	231
測	231
属	232
損	232
退	233
貸	233
態	233
団	234
断	234
築	234
張	235
提	235
程	235
適	236
敵	236
統	236
銅	237
導	237
特	237
得	238
徳	238
独	238
任	239
燃	239
能	239
破	240
犯	240
判	240
版	241
比	241
肥	241
非	242
備	242
俵	242
評	243
貧	243
布	243
婦	243
富	244
武	244
復	244
複	245
仏	245
編	245
弁	246
保	246
墓	247
報	247
豊	248
防	248
貿	248
暴	249
未	249
務	249
無	250
迷	250
綿	250
輸	251
余	251
預	251
容	252
率	252
略	252
留	253
領	253
異	254
遺	254
域	254
壱	255
宇	255
羽	255
映	255
延	256
沿	256
可	256
我	257
灰	257
街	257
拡	258
革	258
閣	258
割	258
株	259
干	259
巻	259
看	260
勧	260
簡	260
丸	261
危	261
机	261
揮	262
貴	262
疑	262
弓	263
吸	263
泣	263
供	263
胸	264
郷	264
勤	265
筋	265
系	265
径	266
敬	266
警	266
劇	267
穴	267
兼	267
権	268
憲	268
源	269
厳	269
己	269
呼	270
誤	270
后	270
好	271
